title,author,binding,in_stock,category,product_url,price_idr,original_price_idr,discount_percent,isbn,publisher,publication_date,pages,language,weight,review_count
The Worlds of Hayao Miyazaki: The Influences and Inspiration...,"Rapold, Nicolas",Hardcover,1,Cooking & Food,http://www.periplus.com/p/9781836004813/the-worlds-of-hayao-miyazaki-the-influences-and-inspiration-behind-the-iconic-films?path=1_17,625000.0,685000.0,9.0,9781836004813.0,Frances Lincoln,18 September 2025,224.0,English,1.14,0
Bread of Angels: A Memoir US,by Patti Smith,Paperback,0,Cooking & Food,http://www.periplus.com/p/9798217154241/bread-of-angels-a-memoir-us?path=1_17,525000.0,525000.0,0.0,9798217154241.0,PRHUS,04 November 2025,288.0,English,0.4,0
Tropical Coral Reef Marine Life - 1000 Piece Jigsaw...,-,Paperback,1,Cooking & Food,http://www.periplus.com/p/9780804854719/tropical-coral-reef-marine-life-1000-piece-jigsaw-puzzle-finished-size-29-in-x-20-inch-74-x-51-cm?path=1_17,198000.0,248000.0,20.0,9780804854719.0,Tuttle Publishing,-,0.0,English,0.68,0
Origami Polyhedra for Beginners: Amazing Geometric...,"Kawamura, Miyuki",Paperback,1,Cooking & Food,http://www.periplus.com/p/9784805318102/origami-polyhedra-for-beginners-amazing-geometric-paper-models-from-a-leading-japanese-expert?path=1_17,157500.0,225000.0,30.0,9784805318102.0,Tuttle Publishing,-,96.0,English,0.41,0
The World of Oscar Wilde 1000 Piece Puzzle: A Jigsaw...,-,Hardcover,0,Cooking & Food,http://www.periplus.com/p/9781399620017/the-world-of-oscar-wilde-1000-piece-puzzle-a-jigsaw-by-adam-simpson?path=1_17,517000.0,517000.0,0.0,9781399620017.0,Laurence King,-,0.0,English,0.79,0
The Creative ACT: A Way of Being,"Rubin, Rick",Hardcover,0,Cooking & Food,http://www.periplus.com/p/9780593652886/the-creative-act-a-way-of-being?path=1_17,662000.0,662000.0,0.0,9780593652886.0,Penguin Press,-,432.0,English,0.61,2
Oppenheimer: The Official Screenplay,"Nolan, Christopher",Paperback,0,Cooking & Food,http://www.periplus.com/p/9780571381319/oppenheimer-the-official-screenplay?path=1_17,371000.0,371000.0,0.0,,,,,,,0
The In-Between in Javanese Performing Arts: History...,Sumarsam,Paperback,1,Cooking & Food,http://www.periplus.com/p/9780819501264/the-in-between-in-javanese-performing-arts-history-and-myth-interculturalism-and-interreligiosity?path=1_17,258300.0,489000.0,47.0,9780819501264.0,Wesleyan University Press,-,288.0,English,0.39,0
Faux Suede Puzzles: Sudoku,-,Paperback,0,Cooking & Food,http://www.periplus.com/p/9781488967672/faux-suede-puzzles-sudoku?path=1_17,310000.0,310000.0,0.0,9781488967672.0,Solve It!,-,160.0,English,0.25,0
Yoga Tarot,"by Massimiliano Filadoro, Adriana Farina",Paperback,0,Cooking & Food,http://www.periplus.com/p/9780738775890/yoga-tarot?path=1_17,578000.0,578000.0,0.0,9780738775890.0,Llewellyn Publication,08 July 2023,0.0,English,1.05,0
It's Complicated: Confessions of Messy Modern Love...,"Found, Philippa",Hardcover,1,Cooking & Food,http://www.periplus.com/p/9780008652609/it-s-complicated-confessions-of-messy-modern-love?path=1_17,209000.0,275000.0,24.0,9780008652609.0,Pavilion Books,04 February 2025,256.0,English,0.22,0
